dutch,english,topic,section,example
uiteraard,of course,Topic 14,Family Visiting,Uiteraard kom ik.
uitgebreid,extensively,Topic 14,Family Visiting,We praten uitgebreid.
uitrusten,to rest,Topic 14,Family Visiting,Ik ga uitrusten.
vliegen,to fly,Topic 14,Family Visiting,Ik ga vliegen naar huis.
vliegticket,airline ticket,Topic 14,Family Visiting,Ik koop een vliegticket.
voet,foot,Topic 14,Family Visiting,Mijn voet doet pijn.
vriezen,to freeze,Topic 14,Family Visiting,Het gaat vriezen.
wereld,world,Topic 14,Family Visiting,Ik reis de wereld rond.
zee,sea,Topic 14,Family Visiting,We gaan naar de zee.
zich voelen,to feel,Topic 14,Family Visiting,Ik voel me goed.
afspreken,to make an appointment,Topic 14,Marriage & Divorce,Ik ga een afspraak afspreken.
alleenstaand,single,Topic 14,Marriage & Divorce,Ik ben alleenstaand.
cultuur,culture,Topic 14,Marriage & Divorce,Ik leer over de cultuur.
dalen,to decrease,Topic 14,Marriage & Divorce,De prijzen gaan dalen.
eindigen,to end,Topic 14,Marriage & Divorce,De relatie gaat eindigen.
gemiddeld,average,Topic 14,Marriage & Divorce,Het gemiddelde is hoog.
gescheiden,divorced,Topic 14,Marriage & Divorce,Zij is gescheiden.
huwelijk,marriage,Topic 14,Marriage & Divorce,Het huwelijk is mooi.
ongetrouwd,unmarried,Topic 14,Marriage & Divorce,Hij is ongetrouwd.
ontmoeting,encounter,Topic 14,Marriage & Divorce,De ontmoeting was leuk.
opvoeding,upbringing,Topic 14,Marriage & Divorce,Mijn opvoeding was goed.
partner,partner,Topic 14,Marriage & Divorce,Mijn partner is lief.
populair,popular,Topic 14,Marriage & Divorce,Dat is populair.
relatie,relationship,Topic 14,Marriage & Divorce,Onze relatie is goed.
samenwonen,to live together,Topic 14,Marriage & Divorce,We gaan samenwonen.
scheiden,to divorce,Topic 14,Marriage & Divorce,Ze gaan scheiden.
scheiding,divorce,Topic 14,Marriage & Divorce,De scheiding is moeilijk.
toenemen,to increase,Topic 14,Marriage & Divorce,De kosten nemen toe.
traditioneel,traditional,Topic 14,Marriage & Divorce,Dat is traditioneel.
uitstellen,to delay,Topic 14,Marriage & Divorce,We stellen het uit.
vanzelfsprekend,the natural thing to do,Topic 14,Marriage & Divorce,Dat is vanzelfsprekend.
verliefd,in love,Topic 14,Marriage & Divorce,Ik ben verliefd.
verwachting,expectation,Topic 14,Marriage & Divorce,Mijn verwachting is hoog.
zorg,care,Topic 14,Marriage & Divorce,Ik geef veel zorg.
Azië,Asia,Topic 14,Getting Married,Ik ga naar Azië.
bloem,flower,Topic 14,Getting Married,Ik koop een bloem.
bruidsboeket,wedding bouquet,Topic 14,Getting Married,Het bruidsboeket is mooi.
foto,photo,Topic 14,Getting Married,Ik maak een foto.
fotograaf,photographer,Topic 14,Getting Married,De fotograaf komt.
gast,guest,Topic 14,Getting Married,Elke gast krijgt eten.
hartstikke,extremely,Topic 14,Getting Married,Dat is hartstikke leuk.
hopelijk,hopefully,Topic 14,Getting Married,Hopelijk regent het niet.
huwelijksreis,honeymoon,Topic 14,Getting Married,We gaan op huwelijksreis.
nerveus,nervous,Topic 14,Getting Married,Ik ben nerveus.
niemand,nobody,Topic 14,Getting Married,Niemand komt te laat.
opa,grandpa,Topic 14,Getting Married,Mijn opa is er ook.
papa,dad,Topic 14,Getting Married,Papa loopt met me mee.
pech,bad luck,Topic 14,Getting Married,Wat een pech.
regelen,to arrange,Topic 14,Getting Married,Ik ga alles regelen.
regenen,to rain,Topic 14,Getting Married,Het gaat regenen.
ring,ring,Topic 14,Getting Married,De ring is prachtig.
stadhuis,city hall,Topic 14,Getting Married,We trouwen op het stadhuis.
taart,cake,Topic 14,Getting Married,De taart is lekker.
trouwjurk,wedding dress,Topic 14,Getting Married,Mijn trouwjurk is wit.
uitzoeken,to pick out,Topic 14,Getting Married,Ik ga een jurk uitzoeken.
vergeten,to forget,Topic 14,Getting Married,Ik mag niets vergeten.
versturen,to send,Topic 14,Getting Married,Ik ga uitnodigingen versturen.
verwachten,to expect,Topic 14,Getting Married,Ik verwacht veel gasten.
zich herinneren,to remember,Topic 14,Getting Married,Ik herinner me alles.
aardig,nice,Topic 14,Resembling each other,Hij is aardig.
baard,beard,Topic 14,Resembling each other,Hij heeft een baard.
blond,blond,Topic 14,Resembling each other,Zij heeft blond haar.
bruin,brown,Topic 14,Resembling each other,Zijn ogen zijn bruin.
eigenwijs,stubborn,Topic 14,Resembling each other,Zij is eigenwijs.
gecondoleerd,sorry for your loss,Topic 14,Resembling each other,Gecondoleerd met je verlies.
grap,joke,Topic 14,Resembling each other,Hij maakt een grap.
grappig,funny,Topic 14,Resembling each other,Dat is grappig.
herinnering,memory,Topic 14,Resembling each other,Ik heb een mooie herinnering.
herkennen,to recognize,Topic 14,Resembling each other,Ik herken je.
huid,skin,Topic 14,Resembling each other,Zijn huid is donker.
karakter,character,Topic 14,Resembling each other,Hij heeft een goed karakter.
krul,curl,Topic 14,Resembling each other,Zij heeft krullen.
lengte,length,Topic 14,Resembling each other,Wat is je lengte?
lijken op,to resemble,Topic 14,Resembling each other,Je lijkt op je moeder.
ongeduldig,impatient,Topic 14,Resembling each other,Ik ben ongeduldig.
oog,eye,Topic 14,Resembling each other,Zijn oog is blauw.
oor,ear,Topic 14,Resembling each other,Mijn oor doet pijn.
steil,straight,Topic 14,Resembling each other,Haar haar is steil.
tegenkomen,to run into,Topic 14,Resembling each other,Ik kom je tegen.
toevallig,accidentally,Topic 14,Resembling each other,Toevallig zie ik je.
uiterlijk,appearance,Topic 14,Resembling each other,Zijn uiterlijk is mooi.
verdrietig,sad,Topic 14,Resembling each other,Ik ben verdrietig.
vrolijk,cheerful,Topic 14,Resembling each other,Zij is vrolijk.
zich schamen,to be ashamed,Topic 14,Resembling each other,Ik schaam me.
zulk,such,Topic 14,Resembling each other,Zulk weer is fijn.
aanbieden,to offer,Topic 15,Becoming Activity Members,Ik ga hulp aanbieden.
collectie,collection,Topic 15,Becoming Activity Members,De collectie is groot.
concert,concert,Topic 15,Becoming Activity Members,Ik ga naar een concert.
cursus,course,Topic 15,Becoming Activity Members,Ik volg een cursus.
digitaal,digital,Topic 15,Becoming Activity Members,Het is digitaal beschikbaar.
documentaire,documentary,Topic 15,Becoming Activity Members,Ik kijk een documentaire.
downloaden,to download,Topic 15,Becoming Activity Members,Ik ga het downloaden.
e-boek,e-book,Topic 15,Becoming Activity Members,Ik lees een e-boek.
kosten,costs,Topic 15,Becoming Activity Members,De kosten zijn laag.
leestafel,reading table,Topic 15,Becoming Activity Members,Ik zit aan de leestafel.
lid,member,Topic 15,Becoming Activity Members,Ik ben lid van de club.
lidmaatschap,membership,Topic 15,Becoming Activity Members,Mijn lidmaatschap loopt af.
luisterboek,audio book,Topic 15,Becoming Activity Members,Ik luister naar een luisterboek.
medewerker,employee,Topic 15,Becoming Activity Members,De medewerker helpt me.
mogelijkheid,possibility,Topic 15,Becoming Activity Members,Er is een mogelijkheid.
papier,paper,Topic 15,Becoming Activity Members,Ik lees op papier.
pas,pass,Topic 15,Becoming Activity Members,Ik heb een pas nodig.
stuk,bit,Topic 15,Becoming Activity Members,Een stuk van het boek.
termijn,term,Topic 15,Becoming Activity Members,De termijn is kort.
tijdschrift,magazine,Topic 15,Becoming Activity Members,Ik lees een tijdschrift.
toegang,access,Topic 15,Becoming Activity Members,Ik heb toegang tot alles.
tv-serie,TV series,Topic 15,Becoming Activity Members,Ik kijk een tv-serie.
verbeteren,to improve,Topic 15,Becoming Activity Members,Ik ga mijn Nederlands verbeteren.
verbinding,connection,Topic 15,Becoming Activity Members,De verbinding is goed.
zodat,so that,Topic 15,Becoming Activity Members,Ik leer zodat ik beter word.
doorbrengen,to spend,Topic 15,Keeping Up,Ik ga tijd doorbrengen met vrienden.
eeuw,century,Topic 15,Keeping Up,Deze eeuw is modern.
fantastisch,fantastic,Topic 15,Keeping Up,Dat is fantastisch.
gewend,used to,Topic 15,Keeping Up,Ik ben gewend aan het weer.
gracht,canal,Topic 15,Keeping Up,Amsterdam heeft mooie grachten.
interesse,interest,Topic 15,Keeping Up,Ik heb interesse in kunst.
kunst,art,Topic 15,Keeping Up,Ik houd van kunst.
meedenken,to help think,Topic 15,Keeping Up,Ik ga meedenken.
modern,modern,Topic 15,Keeping Up,Dit gebouw is modern.
museum,museum,Topic 15,Keeping Up,We gaan naar het museum.
onmogelijk,impossible,Topic 15,Keeping Up,Dat is onmogelijk.
opeens,suddenly,Topic 15,Keeping Up,Opeens begon het te regenen.
overnachten,to spend the night,Topic 15,Keeping Up,We gaan overnachten in een hotel.
popconcert,pop concert,Topic 15,Keeping Up,Ik ga naar een popconcert.
raden,to guess,Topic 15,Keeping Up,Kun je het raden?
risico,risk,Topic 15,Keeping Up,Er is een risico.
schilderij,painting,Topic 15,Keeping Up,Het schilderij is mooi.
toerist,tourist,Topic 15,Keeping Up,Ik ben een toerist.
totaal,totally,Topic 15,Keeping Up,Dat is totaal anders.
volhouden,to keep on doing,Topic 15,Keeping Up,Ik ga volhouden.
waard,worth,Topic 15,Keeping Up,Het is de moeite waard.
zo'n,such a,Topic 15,Keeping Up,Zo'n mooi schilderij.
achter,behind,Topic 15,Sports,Ik sta achter je.
ballet,ballet,Topic 15,Sports,Zij doet aan ballet.
betekenen,to mean,Topic 15,Sports,Wat betekent dat?
beweging,exercise,Topic 15,Sports,Beweging is gezond.
bos,forest,Topic 15,Sports,We lopen in het bos.
chagrijnig,grumpy,Topic 15,Sports,Hij is chagrijnig.
conditie,condition,Topic 15,Sports,Mijn conditie is goed.
discipline,discipline,Topic 15,Sports,Sport vereist discipline.
humeur,mood,Topic 15,Sports,Ik ben in een goed humeur.
ict'er,ICT worker,Topic 15,Sports,Hij is een ict'er.
judo,judo,Topic 15,Sports,Ik doe aan judo.
onderdeel,part,Topic 15,Sports,Dit is een onderdeel van de training.
ophouden,to stop,Topic 15,Sports,Ik ga ophouden met sporten.
racefiets,racing bicycle,Topic 15,Sports,Ik heb een racefiets.
relaxed,relaxed,Topic 15,Sports,Ik voel me relaxed.
saai,boring,Topic 15,Sports,Dat is saai.
spier,muscle,Topic 15,Sports,Mijn spier doet pijn.
spierpijn,muscle pain,Topic 15,Sports,Ik heb spierpijn.
sportief,sporty,Topic 15,Sports,Hij is sportief.
sportschool,gym,Topic 15,Sports,Ik ga naar de sportschool.
stilzitten,to sit still,Topic 15,Sports,Ik kan niet stilzitten.
supporter,supporter,Topic 15,Sports,Ik ben een supporter.
teamsport,team sport,Topic 15,Sports,Voetbal is een teamsport.
totdat,until,Topic 15,Sports,Ik sport totdat ik moe ben.
turnen,gymnastics,Topic 15,Sports,Zij doet aan turnen.
vast,fixed,Topic 15,Sports,Mijn schema is vast.
volleybal,volleyball,Topic 15,Sports,We spelen volleybal.
vreselijk,terrible,Topic 15,Sports,Dat is vreselijk.
afdoen,to take off,Topic 15,Appearance,Ik doe mijn jas af.
anderhalf,one and a half,Topic 15,Appearance,Het duurt anderhalf uur.
bovenkant,top,Topic 15,Appearance,De bovenkant is mooi.
bril,glasses,Topic 15,Appearance,Ik draag een bril.
föhnen,to blow dry,Topic 15,Appearance,Ik ga mijn haar föhnen.
geschikt,suitable,Topic 15,Appearance,Dit is geschikt voor jou.
gezicht,face,Topic 15,Appearance,Je hebt een mooi gezicht.
grijs,grey,Topic 15,Appearance,Mijn haar wordt grijs.
groeien,to grow,Topic 15,Appearance,Mijn haar groeit snel.
kleuren,to dye,Topic 15,Appearance,Ik ga mijn haar kleuren.
knap,good looking,Topic 15,Appearance,Hij is knap.
knippen,to cut,Topic 15,Appearance,Ik ga mijn haar knippen.
model,hairstyle,Topic 15,Appearance,Welk model wil je?
nek,neck,Topic 15,Appearance,Mijn nek doet pijn.
overtuigen,to convince,Topic 15,Appearance,Ik ga je overtuigen.
psycholoog,psychologist,Topic 15,Appearance,Ik ga naar de psycholoog.
recht,straight,Topic 15,Appearance,Mijn haar is recht.
rond,round,Topic 15,Appearance,Je hebt een rond gezicht.
shampoo,shampoo,Topic 15,Appearance,Ik gebruik shampoo.
sluiten,to close,Topic 15,Appearance,De winkel gaat sluiten.
spiegel,mirror,Topic 15,Appearance,Ik kijk in de spiegel.
verandering,change,Topic 15,Appearance,Dat is een grote verandering.
voordat,before,Topic 15,Appearance,Voordat ik ga douchen.
zaak,store,Topic 15,Appearance,Ik ga naar de zaak.
zich scheren,to shave,Topic 15,Appearance,Hij gaat zich scheren.
afval,waste,Topic 16,Throwing Waste,Ik gooi het afval weg.
bak,container,Topic 16,Throwing Waste,De bak is vol.
batterij,battery,Topic 16,Throwing Waste,De batterij is leeg.
beker,cup,Topic 16,Throwing Waste,Ik drink uit een beker.
blik,can,Topic 16,Throwing Waste,Het blik is van aluminium.
chemisch,chemical,Topic 16,Throwing Waste,Dat is chemisch afval.
container,container,Topic 16,Throwing Waste,De container staat vol.
deel,part,Topic 16,Throwing Waste,Een deel van het afval.
gooien,to throw,Topic 16,Throwing Waste,Ik ga het gooien.
grofvuil,bulky waste,Topic 16,Throwing Waste,Grofvuil wordt apart opgehaald.
helft,half,Topic 16,Throwing Waste,De helft is recyclebaar.
karton,cardboard,Topic 16,Throwing Waste,Karton kan gerecycled worden.
krat,crate,Topic 16,Throwing Waste,Het krat is van plastic.
matras,mattress,Topic 16,Throwing Waste,Het oude matras moet weg.
olie,oil,Topic 16,Throwing Waste,Olie is schadelijk voor het milieu.
plastic,plastic,Topic 16,Throwing Waste,Plastic duurt lang om af te breken.
pot,pot,Topic 16,Throwing Waste,De pot is van glas.
restje,leftover,Topic 16,Throwing Waste,Er is een restje over.
schadelijk,harmful,Topic 16,Throwing Waste,Dat is schadelijk voor de natuur.
schil,peel,Topic 16,Throwing Waste,De schil van de appel.
statiegeld,deposit,Topic 16,Throwing Waste,Op flessen zit statiegeld.
stof,substance,Topic 16,Throwing Waste,Deze stof is giftig.
terechtkomen,to end up,Topic 16,Throwing Waste,Het komt in de zee terecht.
terugbrengen,to return,Topic 16,Throwing Waste,Ik breng de fles terug.
verzamelen,to collect,Topic 16,Throwing Waste,We verzamelen het afval.
vuilnis,garbage,Topic 16,Throwing Waste,Het vuilnis wordt opgehaald.
weggooien,to throw away,Topic 16,Throwing Waste,Ik gooi het weg.
aangifte,report,Topic 16,In the Gemeente,Ik doe aangifte van diefstal.
aanvragen,to apply for,Topic 16,In the Gemeente,Ik ga een paspoort aanvragen.
aanwezig,present,Topic 16,In the Gemeente,Ik ben aanwezig bij de vergadering.
arts,doctor,Topic 16,In the Gemeente,De arts ondertekent het document.
automatisch,automatic,Topic 16,In the Gemeente,Het proces gaat automatisch.
beide,both,Topic 16,In the Gemeente,Beide documenten zijn nodig.
betaling,payment,Topic 16,In the Gemeente,De betaling is verwerkt.
bevalling,childbirth,Topic 16,In the Gemeente,Na de bevalling krijg je een akte.
bewijs,proof,Topic 16,In the Gemeente,Ik heb bewijs nodig.
daarnaast,in addition,Topic 16,In the Gemeente,Daarnaast moet je een foto meenemen.
document,document,Topic 16,In the Gemeente,Het document is geldig.
doorgeven,to pass on,Topic 16,In the Gemeente,Ik geef de informatie door.
familielid,family member,Topic 16,In the Gemeente,Een familielid moet aanwezig zijn.
geboorte,birth,Topic 16,In the Gemeente,De geboorte moet aangegeven worden.
geldig,valid,Topic 16,In the Gemeente,Mijn paspoort is geldig.
identiteitskaart,identity card,Topic 16,In the Gemeente,Ik heb mijn identiteitskaart bij me.
kwijtraken,to lose,Topic 16,In the Gemeente,Ik ben mijn paspoort kwijtgeraakt.
legitimatie,identification,Topic 16,In the Gemeente,Ik toon mijn legitimatie.
legitimatiebewijs,proof of identity,Topic 16,In the Gemeente,Een legitimatiebewijs is verplicht.
mailen,to send an e-mail,Topic 16,In the Gemeente,Ik ga het document mailen.
ondertekenen,to sign,Topic 16,In the Gemeente,Ik moet het formulier ondertekenen.
opschrijven,to write down,Topic 16,In the Gemeente,Ik schrijf de gegevens op.
opsturen,to send,Topic 16,In the Gemeente,Ik stuur het formulier op.
pasfoto,passport photo,Topic 16,In the Gemeente,Ik heb een pasfoto nodig.
paspoort,passport,Topic 16,In the Gemeente,Mijn paspoort is verlopen.
persoon,person,Topic 16,In the Gemeente,Elke persoon heeft een BSN.
verklaring,declaration,Topic 16,In the Gemeente,Ik onderteken de verklaring.
belasting,tax,Topic 16,Arranging Online,Ik betaal belasting.
brief,letter,Topic 16,Arranging Online,Ik krijg een brief.
Burgerservicenummer,citizen service number,Topic 16,Arranging Online,Mijn Burgerservicenummer is geheim.
code,code,Topic 16,Arranging Online,Ik voer de code in.
dame,lady,Topic 16,Arranging Online,De dame helpt me.
DigiD,DigiD (digital signature),Topic 16,Arranging Online,Ik log in met DigiD.
dom,stupid,Topic 16,Arranging Online,Dat is dom.
gebruikersnaam,username,Topic 16,Arranging Online,Mijn gebruikersnaam is uniek.
hoofdletter,capital letter,Topic 16,Arranging Online,Gebruik een hoofdletter.
leesteken,punctuation mark,Topic 16,Arranging Online,Een leesteken is nodig.
onthouden,to remember,Topic 16,Arranging Online,Ik moet het wachtwoord onthouden.
overheid,government,Topic 16,Arranging Online,De overheid regelt veel zaken.
pensioen,pension,Topic 16,Arranging Online,Ik spaar voor mijn pensioen.
persoonlijk,in person,Topic 16,Arranging Online,Ik ga persoonlijk naar het kantoor.
post,post,Topic 16,Arranging Online,De post wordt bezorgd.
tandarts,dentist,Topic 16,Arranging Online,Ik ga naar de tandarts.
uitstekend,excellent,Topic 16,Arranging Online,Dat is uitstekend.
verbaasd,surprised,Topic 16,Arranging Online,Ik ben verbaasd.
verzekerd,insured,Topic 16,Arranging Online,Ik ben verzekerd.
verzekering,insurance,Topic 16,Arranging Online,Mijn verzekering dekt alles.
werkdag,working day,Topic 16,Arranging Online,Vandaag is een werkdag.
zaak,matter,Topic 16,Arranging Online,Deze zaak is belangrijk.
zorgverzekering,health insurance,Topic 16,Arranging Online,Ik heb een zorgverzekering.
aanvullend,additional,Topic 16,Health Insurance,Ik heb een aanvullende verzekering.
basis,basis,Topic 16,Health Insurance,De basisverzekering is verplicht.
behandeling,treatment,Topic 16,Health Insurance,De behandeling wordt vergoed.
bepalen,to determine,Topic 16,Health Insurance,De arts bepaalt de behandeling.
bezoek,visit,Topic 16,Health Insurance,Een bezoek aan de dokter.
bloed,blood,Topic 16,Health Insurance,Er wordt bloed afgenomen.
halverwege,halfway through,Topic 16,Health Insurance,Halverwege het jaar verander ik.
hoogte,height,Topic 16,Health Insurance,De hoogte van de premie.
kraamzorg,maternity care,Topic 16,Health Insurance,Kraamzorg is belangrijk.
medisch,medical,Topic 16,Health Insurance,Medische zorg is duur.
noodzakelijk,necessary,Topic 16,Health Insurance,Deze behandeling is noodzakelijk.
opname,admission,Topic 16,Health Insurance,Een opname in het ziekenhuis.
opzeggen,to cancel,Topic 16,Health Insurance,Ik ga mijn verzekering opzeggen.
overzicht,overview,Topic 16,Health Insurance,Een overzicht van de kosten.
polis,insurance policy,Topic 16,Health Insurance,Mijn polis loopt af.
premie,premium,Topic 16,Health Insurance,De premie stijgt elk jaar.
psychisch,psychological,Topic 16,Health Insurance,Psychische hulp is belangrijk.
variëren,to vary,Topic 16,Health Insurance,De kosten variëren per behandeling.
vergelijken,to compare,Topic 16,Health Insurance,Ik vergelijk verschillende verzekeringen.
vergoeden,to reimburse,Topic 16,Health Insurance,De verzekering vergoedt de kosten.
verzekeren,to insure,Topic 16,Health Insurance,Ik verzeker mezelf tegen ziektekosten.
zorgkosten,healthcare costs,Topic 16,Health Insurance,De zorgkosten stijgen elk jaar.
behulpzaam,helpful,Topic 17,Patient & Reliable,Ik ben behulpzaam.
beschrijven,to describe,Topic 17,Patient & Reliable,Ik ga mijn ervaring beschrijven.
bezorger,deliveryman,Topic 17,Patient & Reliable,De bezorger brengt het pakket.
creatief,creative,Topic 17,Patient & Reliable,Ik ben creatief.
depressie,depression,Topic 17,Patient & Reliable,Hij heeft last van depressie.
enthousiast,enthusiastic,Topic 17,Patient & Reliable,Ik ben enthousiast over de baan.
ervaren,experienced,Topic 17,Patient & Reliable,Zij is ervaren in dit werk.
flexibel,flexible,Topic 17,Patient & Reliable,Ik ben flexibel met werktijden.
functie,function,Topic 17,Patient & Reliable,Deze functie past bij mij.
geduldig,patient,Topic 17,Patient & Reliable,Ik ben geduldig met kinderen.
gevoel,feeling,Topic 17,Patient & Reliable,Ik heb een goed gevoel over dit.
handig,handy,Topic 17,Patient & Reliable,Ik ben handig met computers.
kennis,knowledge,Topic 17,Patient & Reliable,Ik heb veel kennis van talen.
klant,customer,Topic 17,Patient & Reliable,De klant is tevreden.
kritisch,critical,Topic 17,Patient & Reliable,Ik ben kritisch op mijn werk.
kwaliteit,quality,Topic 17,Patient & Reliable,Kwaliteit is belangrijk.
leiding,leadership,Topic 17,Patient & Reliable,Ik kan leiding geven.
mode,fashion,Topic 17,Patient & Reliable,Ik houd van mode.
passen bij,to match,Topic 17,Patient & Reliable,Deze baan past bij mij.
sfeer,atmosphere,Topic 17,Patient & Reliable,De sfeer op kantoor is goed.
sociaal,social,Topic 17,Patient & Reliable,Ik ben sociaal ingesteld.
stage,internship,Topic 17,Patient & Reliable,Ik loop stage bij een bedrijf.
therapie,therapy,Topic 17,Patient & Reliable,Hij volgt therapie.
wiskunde,math,Topic 17,Patient & Reliable,Ik ben goed in wiskunde.
behulpzaam,helpful,Topic 17,Patient & Reliable,Hij is behulpzaam.
beschrijven,to describe,Topic 17,Patient & Reliable,Ik ga mijn ervaring beschrijven.
bezorger,deliveryman,Topic 17,Patient & Reliable,De bezorger brengt het pakket.
creatief,creative,Topic 17,Patient & Reliable,Zij is creatief.
depressie,depression,Topic 17,Patient & Reliable,Hij heeft een depressie.
enthousiast,enthusiastic,Topic 17,Patient & Reliable,Ik ben enthousiast.
ervaren,experienced,Topic 17,Patient & Reliable,Hij is ervaren.
flexibel,flexible,Topic 17,Patient & Reliable,Ik ben flexibel.
functie,function,Topic 17,Patient & Reliable,Mijn functie is interessant.
geduldig,patient,Topic 17,Patient & Reliable,Zij is geduldig.
gevoel,feeling,Topic 17,Patient & Reliable,Ik heb een goed gevoel.
handig,handy,Topic 17,Patient & Reliable,Dat is handig.
kennis,knowledge,Topic 17,Patient & Reliable,Ik heb veel kennis.
klant,customer,Topic 17,Patient & Reliable,De klant is tevreden.
kritisch,critical,Topic 17,Patient & Reliable,Hij is kritisch.
kwaliteit,quality,Topic 17,Patient & Reliable,De kwaliteit is goed.
leiding,leadership,Topic 17,Patient & Reliable,Hij geeft leiding.
mode,fashion,Topic 17,Patient & Reliable,Mode is belangrijk.
passen bij,to match,Topic 17,Patient & Reliable,Dit past bij mij.
sfeer,atmosphere,Topic 17,Patient & Reliable,De sfeer is goed.
sociaal,social,Topic 17,Patient & Reliable,Zij is sociaal.
stage,internship,Topic 17,Patient & Reliable,Ik loop stage.
therapie,therapy,Topic 17,Patient & Reliable,Ik volg therapie.
wiskunde,math,Topic 17,Patient & Reliable,Ik ben goed in wiskunde.
aanpakken,to go about,Topic 17,Know your Network,Ik ga het probleem aanpakken.
adviseren,to advise,Topic 17,Know your Network,Ik ga je adviseren.
begin,start,Topic 17,Know your Network,Het begin is moeilijk.
belang,importance,Topic 17,Know your Network,Het belang van netwerken.
beseffen,to realize,Topic 17,Know your Network,Ik besef het nu.
bestaan uit,to consist of,Topic 17,Know your Network,Het team bestaat uit vijf mensen.
bijeenkomst,meeting,Topic 17,Know your Network,We hebben een bijeenkomst.
borrel,drink,Topic 17,Know your Network,We gaan naar de borrel.
carrière,career,Topic 17,Know your Network,Mijn carrière gaat goed.
ex-,former,Topic 17,Know your Network,Mijn ex-collega helpt me.
interviewen,to interview,Topic 17,Know your Network,Ik ga hem interviewen.
leidinggevende,leader,Topic 17,Know your Network,Mijn leidinggevende is aardig.
netwerk,network,Topic 17,Know your Network,Mijn netwerk is groot.
netwerken,to network,Topic 17,Know your Network,Ik ga netwerken op het evenement.
neutraal,neutral,Topic 17,Know your Network,Ik blijf neutraal.
nuttig,helpful,Topic 17,Know your Network,Dat is nuttig advies.
resultaat,result,Topic 17,Know your Network,Het resultaat is goed.
uitbreiden,to expand,Topic 17,Know your Network,Ik ga mijn netwerk uitbreiden.
uitkering,benefit,Topic 17,Know your Network,Ik krijg een uitkering.
uitzendbureau,employment agency,Topic 17,Know your Network,Het uitzendbureau helpt me.
vacature,vacancy,Topic 17,Know your Network,Er is een vacature.
werkervaring,work experience,Topic 17,Know your Network,Ik heb veel werkervaring.
werkgever,employer,Topic 17,Know your Network,Mijn werkgever is tevreden.
werkloos,unemployed,Topic 17,Know your Network,Ik ben werkloos.
werknemer,employee,Topic 17,Know your Network,Ik ben een goede werknemer.
werkzaamheden,work activities,Topic 17,Know your Network,Mijn werkzaamheden zijn gevarieerd.
werkzoekende,job seeker,Topic 17,Know your Network,Ik ben werkzoekende.
afdeling,department,Topic 17,Apply Now,Ik werk op de afdeling verkoop.
beantwoorden,to answer,Topic 17,Apply Now,Ik ga de vraag beantwoorden.
bereid,prepared,Topic 17,Apply Now,Ik ben bereid om te werken.
bereikbaar,accessible,Topic 17,Apply Now,Ik ben telefonisch bereikbaar.
beschikbaar,available,Topic 17,Apply Now,Ik ben beschikbaar voor werk.
bieden,to offer,Topic 17,Apply Now,Wij bieden een goed salaris.
bruto,gross,Topic 17,Apply Now,Het bruto salaris is hoog.
cv,CV,Topic 17,Apply Now,Ik stuur mijn cv mee.
doorzettingsvermogen,perseverance,Topic 17,Apply Now,Ik heb doorzettingsvermogen.
eis,requirement,Topic 17,Apply Now,Dit is een belangrijke eis.
fulltime,full time,Topic 17,Apply Now,Ik werk fulltime.
omschrijving,description,Topic 17,Apply Now,De omschrijving is duidelijk.
opnemen,to answer,Topic 17,Apply Now,Ik neem de telefoon op.
personeelszaken,human resources department,Topic 17,Apply Now,Personeelszaken belt me.
receptie,reception,Topic 17,Apply Now,Ik meld me bij de receptie.
receptionist,receptionist,Topic 17,Apply Now,De receptionist helpt me.
salaris,salary,Topic 17,Apply Now,Mijn salaris is goed.
snelweg,highway,Topic 17,Apply Now,Het kantoor ligt bij de snelweg.
sollicitatiebrief,application letter,Topic 17,Apply Now,Ik schrijf een sollicitatiebrief.
solliciteren,to apply for a job,Topic 17,Apply Now,Ik ga solliciteren.
vaardigheid,skill,Topic 17,Apply Now,Ik heb goede vaardigheden.
verantwoordelijk,responsible,Topic 17,Apply Now,Ik ben verantwoordelijk.
vloeiend,fluent,Topic 17,Apply Now,Ik spreek vloeiend Nederlands.
voldoende,sufficient,Topic 17,Apply Now,Mijn ervaring is voldoende.
zeer,very,Topic 17,Apply Now,Ik ben zeer gemotiveerd.
aanpakken,to go about,Topic 17,Know your Network,Ik ga het probleem aanpakken.
adviseren,to advise,Topic 17,Know your Network,Ik ga je adviseren.
begin,start,Topic 17,Know your Network,Het begin is moeilijk.
belang,importance,Topic 17,Know your Network,Het belang van netwerken.
beseffen,to realize,Topic 17,Know your Network,Ik besef het nu.
bestaan uit,to consist of,Topic 17,Know your Network,Het team bestaat uit vijf mensen.
bijeenkomst,meeting,Topic 17,Know your Network,We hebben een bijeenkomst.
borrel,drink,Topic 17,Know your Network,Na het werk gaan we borrelen.
carrière,career,Topic 17,Know your Network,Mijn carrière gaat goed.
ex-,former,Topic 17,Know your Network,Mijn ex-collega helpt me.
interviewen,to interview,Topic 17,Know your Network,Ik ga hem interviewen.
leidinggevende,leader,Topic 17,Know your Network,Mijn leidinggevende is aardig.
netwerk,network,Topic 17,Know your Network,Mijn netwerk is groot.
netwerken,to network,Topic 17,Know your Network,Ik ga netwerken op het evenement.
neutraal,neutral,Topic 17,Know your Network,Ik blijf neutraal.
nuttig,helpful,Topic 17,Know your Network,Dat is nuttig advies.
